av_alive,av_w0,av_alph_w,av_lambda,av_thr1,av_thr2,av_t_thr,av_beta,sd_w0,sd_alph_w,sd_lambda,sd_thr1,sd_thr2,sd_t_thr,sd_beta
0.84425,7.90194503974915,0.966192589536309,0,0.890015041574836,0,1000,13.7431698551178,0.0402916583264418,0.0258826101932778,0,0.0415060576989728,0,0,0.0725246338786445
0.84975,7.88057050788403,0.974503658592701,0,0.932665149301291,0,1000,13.7864116780758,0.0621068481278003,0.0187533692672754,0,0.0281686742530899,0,0,0.0821038103186872
0.8495,7.96492025887966,0.976998501569033,0,0.910927031442523,0,1000,13.8089658915997,0.0578060428225576,0.0219655627855334,0,0.0425871013216979,0,0,0.114203021920999
0.84025,7.96849300312996,0.974465441688895,0,0.885108567073941,0,1000,13.9037982244492,0.0576117674715425,0.0237705855147262,0,0.0557566353036773,0,0,0.0545853232089234
0.84025,8.03563441419601,0.975887833595276,0,0.87980579675734,0,1000,13.831497795105,0.0370410829432584,0.0193552821572985,0,0.0382264266603436,0,0,0.0569389749242846
0.859,8.11433042263985,0.959983630761504,0,0.888837997108698,0,1000,13.867760089159,0.0674340781286924,0.0238524441691832,0,0.0300470559250815,0,0,0.0807922480404707
0.84375,8.10210108745098,0.923991218939424,0,0.875701305642724,0,1000,13.925986536026,0.0672881933731498,0.0372991578149385,0,0.0378779292704176,0,0,0.0865159817123048
0.84225,8.07069962406158,0.919183931276202,0,0.88697888366878,0,1000,13.8889573106766,0.0510791541818315,0.0510854880930345,0,0.0382959093069742,0,0,0.105478385984725
0.85025,8.03075191736221,0.961558856725693,0,0.888042826518416,0,1000,13.9008971357346,0.048093455395952,0.034516002473514,0,0.0556738897487363,0,0,0.0974998394176067
0.8595,8.09330137479305,0.972241779580712,0,0.93468198928237,0,1000,13.890356584549,0.0614615877758906,0.0214707305759723,0,0.0317557869577293,0,0,0.0958307822740256
0.843,8.15118894636631,0.942279197871685,0,0.902234565600753,0,1000,13.8205483767986,0.0499983567337289,0.041612048905167,0,0.0326755613193202,0,0,0.0841091210445931
0.84,8.16561098742485,0.956111260294914,0,0.906300762981176,0,1000,13.7059230532646,0.0811019299949424,0.0329810450284354,0,0.0372579130153375,0,0,0.115378732608235
0.84525,8.21434194016457,0.950018087819219,0,0.910264626517892,0,1000,13.6602388896942,0.0502586808391936,0.0354564427400634,0,0.0333624929350475,0,0,0.100261253179189
0.83925,8.26660463571548,0.966707073256373,0,0.900225041151047,0,1000,13.5724784324169,0.0734989504135199,0.0311423062680723,0,0.0361649121585542,0,0,0.128404216545375
0.84925,8.2679391605854,0.962494208976626,0,0.905141950845718,0,1000,13.5112840404511,0.0740861841374711,0.0281986972849203,0,0.0515675367496315,0,0,0.156247698137781
0.8435,8.40384334230423,0.94395731793344,0,0.912983868286014,0,1000,13.519449909687,0.087857874603534,0.0362280453758811,0,0.0397912697362092,0,0,0.178665295122423
0.845,8.40731201529503,0.964667373508215,0,0.839100643306971,0,1000,13.5890116558075,0.0890943457413765,0.0242378099075717,0,0.0568222940088105,0,0,0.18550095376016
0.84,8.42932660007477,0.971248312309384,0,0.800763708978891,0,1000,13.6489964122772,0.0867694607995981,0.0213741495669459,0,0.0680971206359596,0,0,0.207676575492792
0.858,8.41353866648674,0.961192983686924,0,0.88122329723835,0,1000,13.5471991477013,0.0911263958324142,0.0322765499394426,0,0.0382633898499234,0,0,0.235530651055238
0.848,8.42583435702324,0.957567667648196,0,0.885424192473292,0,1000,13.5920505537987,0.0609550051345625,0.031809670636461,0,0.0516633192441834,0,0,0.172872278421669
0.8485,8.33478814458847,0.959122827321291,0,0.847086935058236,0,1000,13.3729484546185,0.0528571321004981,0.025124709249907,0,0.0561359196148573,0,0,0.0943855292517832
0.85325,8.27331233453751,0.974593172714114,0,0.882519144922495,0,1000,13.4160081129074,0.0780426442490057,0.0272914783435795,0,0.049603755948997,0,0,0.0976187365635483
0.84925,8.30088035106659,0.9698165230304,0,0.884639146015048,0,1000,13.443908829689,0.0778487322159178,0.0218796875350524,0,0.0507093095758706,0,0,0.104679473048843
0.8345,8.31426806235313,0.966340824425221,0,0.880002699747682,0,1000,13.5212540392876,0.0597777834590127,0.0285832985075298,0,0.0626102179144517,0,0,0.134108727752686
0.84425,8.31084098386765,0.941698466032743,0,0.945925650343299,0,1000,13.5785192213058,0.0461221513032749,0.0469528398777692,0,0.0240474899671747,0,0,0.135956664980807
